NCTId,BriefTitle,OfficialTitle,OverallStatus,Phase,StudyType,EnrollmentCount,Conditions,InterventionNames,InterventionTypes,StartDate,PrimaryCompletionDate,CompletionDate,Countries,LeadSponsor,PrimaryOutcome,BriefSummary,MatchedTargets
NCT05945849,CD33KO-HSPC Infusion Followed by CART-33 Infusion(s) for Refractory/Relapsed AML,Phase 1 Study of Lentivirally Transduced T Cells Engineered to Contain Anti-CD33 Linked to TCRζ And 4-1BB Signaling Domains In Combination With CD33KO-HSPC In Subjects With Refractory Or Relapsed Acute Myeloid Leukemia,RECRUITING,PHASE1,INTERVENTIONAL,16,"Leukemia, Myeloid, Acute",CD33KO-HSPC; CART33,BIOLOGICAL,2024-02-23,2029-02-23,2044-02-23,United States,University of Pennsylvania,Manufacturing feasibility; Occurrence of dose-limiting toxicities related to CD33KO-HSPC; Occurrence of dose-limiting toxicities related to CART-33,"The purpose of this study is to provide a new type of treatment for AML. This treatment combines a new type of stem cell transplant along with treatment using chimeric antigen receptor (CAR) T cells that have been engineered to recognize and attack your AML cells.

The first treatment is a modified stem cell transplant, using blood-forming stem cells donated from a healthy donor. From the same donor, we will also make CAR T-cells, which are leukemia fighting cells, which will be given to the patient via an infusion into the vein after the transplanted stem cells have started to grow healthy bl",CD33
NCT05467254,Evaluate the Safety and Efficacy of CLL1+CD33 CAR-T in Patients With R/R AML,To Evaluate the Safety and Efficacy of CLL1+CD33 CAR-T in Patients With Relapsed and Refractory Acute Myeloid Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,20,AML,CLL1+CD33 CAR-T,BIOLOGICAL,2022-08-02,2024-08-02,2025-08-02,China,Zhejiang University,Changes in cytokine level after CLL1+CD33 CAR-T infusion; The change characteristics of chimeric antigen receptor(CAR)-T cell number and copy number in patients after infusion.,"This is an open label, phase I study to assess the safety and efficacy of CLL1+CD33 CAR-T in patients with relapsed and refractory acute myeloid leukemia",CD33; CLL-1
NCT03222674,Multi-CAR T Cell Therapy for Acute Myeloid Leukemia,Multi-center Phase I/II Clinical Trial of Multi-CAR T Cell Therapy for Acute Myeloid Leukemia,RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,10,Acute Myeloid Leukemia,Muc1/CLL1/CD33/CD38/CD56/CD123-specific gene-engineered T cells,BIOLOGICAL,2025-07-15,2028-06-30,2028-12-31,China,Shenzhen Geno-Immune Medical Institute,percentage of patients with treatment related adverse effect,"The purpose of this clinical trial is to assess the feasibility, safety and efficacy of multi-CAR T cell therapy targeting different AML surface antigens in patients with relapsed or refractory acute myeloid leukemia (AML). Another goal of the study is to learn more about the function of the multi-CAR T cells and their persistency in the patients.",CD33; CD123; CLL-1; CD38
NCT05248685,Optimized Dual CD33/CLL1 CAR T Cells in Subjects With Refractory or Relapsed Acute Myeloid Leukemia,"Single-center, Open-Label, Non-randomized, Single-Arm Phase 1 Study to Evaluate the Safety and Tolerability of Optimized Dual CD33/CLL1 CAR T Cells in Subjects With Refractory or Relapsed Acute Myeloid Leukemia",WITHDRAWN,PHASE1,INTERVENTIONAL,0,Acute Myeloid Leukemia,Dual CD33/CLL1 CAR T,BIOLOGICAL,2022-02-16,2023-12-31,2023-12-31,China,Beijing Boren Hospital,Dose limiting toxicity (DLT); Incidence and severity of adverse events (AE),"This is a single-center, open-label, non-randomized, single-arm Phase 1 Study to evaluate safety and tolerability of optimized Dual CD33/CLL1 CAR T Cells in subjects with refractory or relapsed acute myeloid leukemia. Maximum of twenty subjects will be enrolled. After the collection of PBMC and about 5 days before infusion, lymphodepletion chemotherapy (fludarabine at 30 mg/m\^2/day and cyclophosphamide at 250 mg/m\^2/day) will be administrated for 3 days.

Then this study will be using BOIN1/2 approach from starting dose 1: 1×10\^6 (±20%) to dose 2: 5×10\^6 (±20%). If the manufactured cells w",CD33; CLL-1
NCT03885076,Gamma Delta T Cells in AML,Assessing Feasibility of Expansion and Characterization of Gamma Delta T Cells From Peripheral Blood and Bone Marrow of Patients With Acute Myeloid Leukaemia as Starting Product for Generation of CD33-CD28 Gamma Delta T Cells,UNKNOWN,N/A,OBSERVATIONAL,20,Acute Myeloid Leukemia,Blood collection and bone marrow aspirate,PROCEDURE,2018-08-23,2020-03,2021-03,United Kingdom,Royal Marsden NHS Foundation Trust,Percentage viable gamma delta T cells,"The Royal Marsden NHS Foundation Trust is committed to improving patient experience; this research is being undertaken to try to develop a novel treatment for patients with Acute Myeloid Leukaemia (AML). Researchers aim to develop a new therapy which uses a patient's own immune cells called T cells to treat AML. In this study, numbers and properties of T cells which can be collected from the blood of patients with AML at various points throughout their treatment will be investigated. Blood samples will be collected at the same time as the patient's bone marrow test.

If patients need further b",CD33
NCT06326021,Optimised CD33 (FL-33) CAR T Therapy for Refractory/Relapsed Acute Myeloid Leukaemia,"Optimised CD33 (FL-33) CAR T Therapy for Refractory/Relapsed Acute Myeloid Leukaemia：a Multi-center, Open-label, Non-randomised, Single-arm Phase Ⅰ Clinical Trial",RECRUITING,PHASE1,INTERVENTIONAL,27,Refractory/Relapsed Acute Myeloid Leukaemia,autologous FL-33 CAR T therapy; prior-HSCT donor-derived FL-33 CAR T therapy; Newly matched donor-derived FL-33 CAR T therapy; FL33-03 CAR-T therapy,DRUG; DRUG; DRUG; DRUG,2024-04-02,2026-06-15,2026-12-30,China,Beijing GoBroad Hospital,Dose-limiting toxicity(DLT); Adverse events (AEs),"This study is a multi-center, open-label, non-randomised, single-arm phaseⅠclinical trial to explore the safety and efficacy of FL-33 CAR T therapy for refractory/relapsed acute myeloid leukaemia. The primary endpoints are incidence and type of dose limiting toxicity within 21 days of CAR T infusion; total number, incidence and severity of adverse events (AE) 30 days after CAR T infusion. The secondary endpoints are total number, incidence and severity of AEs 30 days to 2 years after CAR T infusion; objective response rate (ORR), complete response rate (CR) and complete response with incomplet",CD33
NCT03473457,CAR-T Cells Therapy in Relapsed/Refractory Acute Myeloid Leukemia,"The Prospective, Multi-center And Single-arm Clinical Study of Chimeric Antigen Receptor T(CAR-T) Cells Therapy in Relapsed/Refractory Acute Myeloid Leukemia",TERMINATED,NA,INTERVENTIONAL,2,Relapsed/Refractory Acute Myeloid Leukemia(AML),CART therapy in Acute myeloid leukemia(AML),BIOLOGICAL,2018-04-01,2020-12-31,2020-12-31,China,Zhujiang Hospital,Adverse events that Are related to treatment,"Acute myeloid leukemia (AML) is a group of genetically highly heterogeneous malignant disease . The disease is the most common type of adult acute leukemia. Overall survival (OS) was less than 50% in 5 years. Chimeric Antigen Receptor-transduced T cell (CAR-T) therapy is one of revolutionary targeted immunotherapy. The efficacy of CAR-T cells for the treatment of acute B lymphocytic leukemia has been widely recognized, although it start late, several clinical trials have been register in ClinicalTrials.gov.",CD33; CD123; CD38
NCT04835519,Phase I/II Study of Enhanced CD33 CAR T Cells in Subjects With Relapsed or Refractory Acute Myeloid Leukemia,"Open-Label, Nonramdominzed, Single-Arm Phase I/II Study to Evaluate the Safety and Tolerability of Functionally Enhanced CD33 CAR T Cells in Subjects With Relapsed or Refractory Acute Myeloid Leukemia",COMPLETED,"PHASE1, PHASE2",INTERVENTIONAL,5,Acute Myeloid Leukemia; Relapse Leukemia; Refractory Acute Myeloid Leukemia,chimeric antigen receptor T cell,BIOLOGICAL,2021-04-08,2023-05-19,2023-05-19,China,Beijing Boren Hospital,Incidence and type of dose-limiting toxicity (DLT); Incidence and severity of adverse events (AE),"This is a open-label, nonramdominzed, single-arm, Phase I/II Study to evaluate safety and tolerability of functionally enhanced CD33 CAR-T cells in subjects with relapsed or refractory acute myeloid leukemia. 25 subjects will be enrolled. Subjects will be pretreated with chemotherapy prior to infusion of CAR T cells: about 5 days before cells transfusion, the patients who planned to reinfuse CAR T cells were treated with fluorodarabine 30 mg/m\^2( body surface area) and cyclophosphamide 250 mg/m\^2( body surface area) for 3 days. Then the Bayesian optimal interval phase I/II (Boin12) trial des",CD33
NCT04010877,Multiple CAR-T Cell Therapy Targeting AML,Multi-center Phase I/II Clinical Trial of Multiple CAR T Cells for Treating Acute Myeloid Leukemia,RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,10,Acute Myeloid Leukemia,"CLL-1, CD33 and/or CD123-specific CAR gene-engineered T cells",BIOLOGICAL,2025-08-01,2028-07-31,2029-12-31,China,Shenzhen Geno-Immune Medical Institute,Safety of infusion,"The purpose of this clinical trial is to assess the feasibility, safety and efficacy of multiple CAR T-cell therapy which combines CAR T cells against CLL-1 with CAR T cells targeting CD123 or CD33 in patients with relapsed and refractory AML. The study also aims to learn more about the function of CAR T cells and their persistency in AML patients.",CD33; CD123; CLL-1
NCT05665075,Natural Killer (NK) Cell Therapy Targeting CD33 in Acute Myeloid Leukemia,Clinical Study on the Safety and Efficacy of QN-023a Targeting CD33 in Acute Myeloid Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,19,"AML, Adult",QN-023a; Cyclophosphamid; Fludarabine; Cytarabine; VP-16,DRUG; DRUG; DRUG; DRUG; DRUG,2022-12-24,2023-12-24,2025-12-24,China,Zhejiang University,Incidence and severity of Treatment-Emergent Adverse Events[Safety and Tolerability]; Incidence of dose adjustment or discontinuation due to NK cell toxicities; Incidence of subjects with Dose Limiting Toxicities within each dose level cohort; Determine the maximum tolerated dose (MTD) and RP2D,"This is an open-label, Phase I study of QN-023a (allogeneic CAR-NK cells targeting CD33) in relapsed/refractory Acute Myeloid Leukemia (AML).

The clinical study is to evaluate the safety, tolerability and preliminary efficacy of QN-023a in patients with relapsed/refractory AML,where a ""3+3"" enrollment schema will be utilized at dose escalation stage. Up to 19 patients will be enrolled.",CD33
NCT05943314,Clinical Study on Safety and Efficacy of Anti-CLL1 /+CD33 CAR T Cells in the Treatment of Acute Myeloid Leukemia,"Safety and Efficacy of Anti-CLL1 /+CD33 CAR T Cells in Refractory/Recurrent Acute Myeloid Leukemia: a Single-arm, Non-blind Clinical Study",WITHDRAWN,NA,INTERVENTIONAL,0,Acute Myeloid Leukemia,CLL1/+CD33 CAR-T,BIOLOGICAL,2023-07-12,2023-08-28,2023-08-28,China,"Guangzhou Bio-gene Technology Co., Ltd",Changes in cytokine level after CLL1/+CD33 CAR-T infusion; The change characteristics of chimeric antigen receptor(CAR)-T cell number in patients after infusion.; The change characteristics of chimeric antigen receptor(CAR)-T cell copy number in patients after infusion.,"This is a single-center, single-arm, open, intravenous drug administration of the safety and efficacy of clinical study.",CD33; CLL-1
NCT06420063,Sequential CAR-T Cells Targeting CD33/CD123 in Patients With Acute Myelocytic Leukemia AML,Sequential CAR-T Cell Infusion Targeting CD33 and CD123 for Refractory/Relapsed Acute Myeloid Leukaemia,RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,85,"AML; Acute Myeloid Leukemia; AML, Adult Recurrent; AML, Adult",CD123/CD33 CART,BIOLOGICAL,2024-07-10,2025-12-10,2026-12-28,China,Essen Biotech,Incidence and severity of dose-limiting toxicities (DLTs) following chemotherapy preparative regimen and infusion of CD5/CD7 chimeric antigen receptor (CAR) T cells,"This is an open, single-arm, clinical study to evaluate the efficacy and safety of chimeric antigen receptor T cell immunotherapy (CAR-T) targeting CD33 or CD123 or both sequentially in the treatment of Acute Myelocytic Leukemia.",CD33; CD123
NCT07198867,A Study of A-CAR028 Treatment in Subjects With Relapsed or Refractory Acute Myeloid Leukemia,A Study of A-CAR028 Treatment in Subjects With Relapsed/ Refractory Acute Myeloid Leukemia,RECRUITING,PHASE1,INTERVENTIONAL,20,Acute Myeloid Leukemia (AML); CAR-T Cell Therapy,A-CAR028,BIOLOGICAL,2025-09-30,2026-12-30,2027-12-31,China,First Affiliated Hospital of Zhejiang University,Incidence of dose limiting toxicities (DLTs); Incidence and severity of Treatment Emergent Adverse Events (TEAEs),"This is a single-center, open-label study to evaluate the safety and efficacy of A-CAR028 in relapsed/refractory acute myeloid leukemia patients",CD33; CLL-1
NCT07538713,Functionally Optimized CD33 CAR-T Cell Therapy Targeting Recurrent/Refractory Acute Myeloid Leukemia,Clinical Study on the Efficacy and Safety of Functionally Optimized CD33 CAR-T Cells (FO33 CAR-T) Therapy Targeting CD33-Positive Recurrent/Refractory Acute Myeloid Leukemia,NOT_YET_RECRUITING,PHASE1,INTERVENTIONAL,18,CAR T Cell Therapy; CD33 Positive Acute Myelogenous Leukemia,Functionally optimized CD33 CAR-T,BIOLOGICAL,2026-06-01,2028-05-31,2028-05-31,,Qi deng,Evaluate the Incidence of Treatment-Emergent Adverse Events (Safety and Tolerability) of Functionally optimized CD33 CAR-T cell therapy in relapsed/refractory B Cell Acute Myeloid Leukemia; Evaluate the Complete Response rate of Functionally optimized CD33 CAR-T cell therapy in relapsed/refractory B Cell Acute Myeloid Leukemia,"Relapsed/refractory acute myeloid leukemia (R/R AML) currently lacks effective CAR-T therapeutic agents due to the absence of tumor-specific target antigens. Most AML-associated antigens are expressed on normal hematopoietic stem/progenitor cells (HSPCs) and healthy tissues, increasing the risk of on-target off-tumor toxicity and non-neoplastic toxicity. CD33 is present on leukemic cells in over 80% of AML patients. Compared with CLL-1, CD123 and other targets, CD33 exhibits higher expression across diverse AML subtypes, reducing the risk of treatment failure and relapse caused by antigen esca",CD33; CD123; CLL-1
NCT05105152,PLAT-08: A Study Of SC-DARIC33 CAR T Cells In Pediatric And Young Adults With Relapsed Or Refractory CD33+ AML,Pediatric And Young Adult Leukemia Adoptive Therapy (PLAT)-08: A Phase 1 Study Of SC-DARIC33 In Pediatric And Young Adults With Relapsed Or Refractory CD33+ AML,RECRUITING,PHASE1,INTERVENTIONAL,18,"Acute Myeloid Leukemia; Acute Myeloid Leukemia Refractory; Acute Myeloid Leukemia, in Relapse",SC-DARIC33,BIOLOGICAL,2021-11-29,2028-02-28,2041-01-31,United States,Seattle Children's Hospital,Adverse events associated with SC-DARIC33 cell product infusions will be assessed; Ability to successfully manufacture SC-DARIC33,"A phase 1, open-label, non-randomized study enrolling pediatric and young adult patients with relapsed or refractory CD33+ leukemia with and without prior history of allogeneic hematopoietic cell transplantation, to examine the safety and feasibility of administering an autologous T cell product that has been genetically modified to express a Dimerizing Agent Regulated Immunoreceptor Complex (DARIC).",CD33
NCT03971799,Study of Anti-CD33 Chimeric Antigen Receptor-Expressing T Cells (CD33CART) in Children and Young Adults With Relapsed/Refractory Acute Myeloid Leukemia,Phase 1/2 Study of Anti-CD33 Chimeric Antigen Receptor-Expressing T Cells (CD33CART) in Children and Young Adults With Relapsed/Refractory Acute Myeloid Leukemia,ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,52,Acute Myelogenous Leukemia,CD33CART autologous; CD33CART allogeneic,BIOLOGICAL; BIOLOGICAL,2020-01-08,2029-12,2039-12,United States,Center for International Blood and Marrow Transplant Research,Maximum tolerated dose - Autologous Arm; Maximum tolerated dose - Allogeneic Arm; Morphologic remission,"This phase 1/2 trial aims to determine the safety and feasibility of antiCD33 chimeric antigen receptor (CAR) expressing T cells (CD33CART) in children and adolescents/young adults (AYAs) with relapsed/refractory acute myeloid leukemia (AML). The trial will be done in two phases: Phase 1 will determine the maximum tolerated dose of CD33CART cells using a 3+3 trial design, with dose-escalation for autologous products separated from dose-escalation for an allogeneic arm. Phase 2 is an expansion phase designed to evaluate the rate of response to CD33CART.",CD33
NCT06762132,A Clinical Study to Explore the Safety and Efficacy of CD33 CAR-T Cell in Relapsed/Refractory Acute Myeloid Leukemia,A Clinical Study to Explore the Safety and Efficacy of CD33 CAR-T Cell in Relapsed/Refractory Acute Myeloid Leukemia,RECRUITING,EARLY_PHASE1,INTERVENTIONAL,27,Acute Myeloid Leukemia,CD33 CAR T-cells,BIOLOGICAL,2025-01-10,2027-10-30,2027-10-30,China,Zhejiang University,Dose-limiting toxicity (DLT); Incidence of treatment-emergent adverse events (TEAEs),A Clinical Study on the Safety and Effectiveness of targeting CD33 CAR-T Cell in the treatment of Relapsed/Refractory Acute Myeloid Leukemia,CD33
NCT02799680,Allogeneic CART-33 for Relapsed/Refractory CD33+ AML,Treatment of Relapsed and/or Refractory CD33-positive Acute Myeloid Leukemia by Infusions of Allogeneic CART-33,UNKNOWN,PHASE1,INTERVENTIONAL,12,Relapsed and/or Refractory CD33+ AML,allogeneic CART-33,BIOLOGICAL,2015-10,2017-05,2018-05,China,The Affiliated Hospital of the Chinese Academy of Military Medical Sciences,Occurrence of study related adverse events,The purpose of this study is to evaluate the safety and efficiency of allogeneic cluster of differentiation 33 (CD33)-directed chimeric antigen receptor modified T cells (CART-33) infusions in patients with relapsed / refractory acute myeloid leukemia (AML).,CD33
NCT05654779,CLL-1/CD33 Targeted LCAR-AMDR Cells in Patients With Relapsed or Refractory Acute Myeloid Leukemia,"A Phase I Clinical Study to Evaluate the Safety, Tolerability, and Efficacy of CLL1-/CD33 Targeted LCAR-AMDR Cells Product in Patients With Relapsed/Refractory Acute Myeloid Leukemia",TERMINATED,PHASE1,INTERVENTIONAL,4,Acute Myeloid Leukemia,LCAR-AMDR Cells Product,BIOLOGICAL,2022-12-12,2023-09-26,2023-09-26,China,"Institute of Hematology & Blood Diseases Hospital, China","Incidence, severity, and type of treatment-emergent adverse events (TEAEs); Recommended Phase 2 dose (RP2D) finding; CAR positive T cells and CAR transgene levels in peripheral blood and bone marrow","This is a prospective, single-arm, open-label, single dose-finding and dose-expansion study that evaluates the safety, tolerability, PK, and anti-tumor efficacy of LCAR-AMDR cells in subjects with relapsed/refractory Acute Myeloid Leukemia who received adequate standard therapy.",CD33; CLL-1
NCT05445765,Anti-CD33 CAR-T Cells for the Treatment of Relapsed/Refractory CD33+ Acute Myeloid Leukemia,Anti-CD33 CAR-T Cells for the Treatment of Relapsed/Refractory CD33+ Acute Myeloid Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,10,Relapsed and/or Refractory Acute Myeloid Leukemia; High Risk Hematologic Malignancies,anti-CD33 CAR T cells,BIOLOGICAL,2022-07-01,2024-06-30,2024-06-30,China,iCell Gene Therapeutics,The number and incidence of adverse events after anti-CD33 CAR infusion.,"This is a phase I, interventional, single arm, open label, treatment study to evaluate the safety and tolerability of anti-CD33 CAR-T cells in patients with relapsed and/or refractory, high risk hematologic malignancies.",CD33
NCT01864902,Treatment of Relapsed and/or Chemotherapy Refractory CD33 Positive Acute Myeloid Leukemia by CART-33,Clinical Study of Chimeric CD(Cluster of Differentiation)33 Antigen Receptor-modified T Cells in Relapsed and/or Chemotherapy Refractory Acute Myeloid Leukemias,UNKNOWN,"PHASE1, PHASE2",INTERVENTIONAL,10,Relapsed Adult Myeloid Leukemia; Chemotherapy Refractory Adult Myeloid Leukemia,CART33 cells; anti-CD33 CART; anti-CD33 CAR T cells,BIOLOGICAL; BIOLOGICAL; BIOLOGICAL,2013-04,2016-04,2017-04,China,Chinese PLA General Hospital,Occurrence of study related adverse events,"RATIONALE: Placing a tumor antigen chimeric receptor that has been created in the laboratory into patient autologous or donor-derived T cells may make the body build immune response to kill cancer cells.

PURPOSE: This clinical trial is to study genetically engineered lymphocyte therapy in treating patients with CD33 positive acute myeloid leukemias that is relapsed (after stem cell transplantation or intensive chemotherapy) or refractory to further chemotherapy.",CD33
NCT03927261,"PRGN-3006 Adoptive Cellular Therapy for CD33-Positive Relapsed or Refractory AML, MRD Positive AML or Higher Risk MDS","A Phase 1/1b Safety Study of PRGN-3006 Adoptive Cellular Therapy in Patients with CD33-Positive Relapsed or Refractory Acute Myeloid Leukemia, Minimal Residual Disease Positive Acute Myeloid Leukemia, and Higher Risk Myelodysplastic Syndrome",ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,88,Acute Myeloid Leukemia; Myelodysplastic Syndromes,PRGN-3006 T Cells,DRUG,2019-05-20,2024-08-01,2025-08-01,United States,"Precigen, Inc",Number of Participants who Experience Dose Limiting Toxicities (DLTs); Number of Participants who Experience Treatment Emergent Adverse Events (TEAEs),"This is a first-in-human dose escalation/dose expansion study to evaluate the safety and identify the best dose of modified immune cells, PRGN-3006 (autologous chimeric antigen receptor (CAR) T cells), in adult patients with relapsed or refractory acute myeloid leukemia (AML), Minimal Residual Disease (MRD) positive acute myeloid leukemia or higher risk myelodysplastic syndrome (MDS). Autologous CAR T cells are modified immune cells that have been engineered in the laboratory to specifically target a protein found on tumor cells and kill them.",CD33
NCT05008575,Anti-CD33 CAR NK Cells in the Treatment of Relapsed/Refractory Acute Myeloid Leukemia,Phase I Study to Evaluate the Safety and Effectiveness of Anti-CD33 CAR NK Cell Therapy in Relapsed/Refractory Acute Myeloid Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,27,"Leukemia, Myeloid, Acute",anti-CD33 CAR NK cells; Fludarabine; Cytoxan,BIOLOGICAL; DRUG; DRUG,2021-12-23,2022-12-01,2023-12-01,China,Xinqiao Hospital of Chongqing,Overall Remission Rate (ORR); incidence of participants with dose limiting toxicity (DLT),"CAR technology has been used in T cell therapy and gets great success in treating hematological diseases. Following models of CAR T cells, CAR NK cell therapy has been one hot point. For myeloid malignancies, CD33 is widely expressed. Targeting CD33 surface antigens by CAR NK cells provides an off-the-shelf immune cell therapy.",CD33
NCT03795779,"CLL1-CD33 cCAR in Patients With Relapsed and/or Refractory, High Risk Hematologic Malignancies","Phase I, Interventional, Single Arm, Open Label, Treatment Study to Evaluate The Safety and Tolerability of CLL1-CD33 cCAR in Patients With Relapsed and/or Refractory, High Risk Hematologic Malignancies.",UNKNOWN,EARLY_PHASE1,INTERVENTIONAL,20,Hematologic Malignancy; Acute Myeloid Leukemia; Myelodysplastic Syndromes; Myeloproliferative Neoplasm; Chronic Myeloid Leukemia,CLL1-CD33 cCAR T cells,BIOLOGICAL,2018-03-01,2022-09-30,2022-09-30,China,iCell Gene Therapeutics,Number of participants with dose limiting toxicity (DLT) as assessed by the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 5.0; Type of dose-limiting toxicity (DLT); Number of participants with adverse event by severity as assessed by the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 5.0,"Phase I, interventional, single arm, open label, treatment study to evaluate the safety and tolerability of CLL1-CD33 cCAR in patients with relapsed and/or refractory, high risk hematologic malignancies.",CD33; CLL-1
NCT05984199,Donor-Derived Anti-CD33 CAR T Cell Therapy (VCAR33) in Patients With Relapsed or Refractory AML After Allogeneic Hematopoietic Cell Transplant,Phase 1/2 Study of Donor-Derived Anti-CD33 Chimeric Antigen Receptor Expressing T Cells (VCAR33) in Patients With Relapsed or Refractory Acute Myeloid Leukemia After Allogeneic Hematopoietic Cell Transplantation,TERMINATED,"PHASE1, PHASE2",INTERVENTIONAL,38,"Leukemia, Myeloid, Acute",VCAR33,BIOLOGICAL,2023-12-11,2025-05-28,2025-05-28,United States,Vor Biopharma,Incidence of dose-limiting toxicities,"This is a Phase 1/2, multicenter, open-label, first-in-human (FIH) study of donor-derived anti-CD33 Chimeric Antigen Receptor (CAR) T cell therapy (VCAR33) in patients with relapsed or refractory Acute Myeloid Leukemia (AML) after human leukocyte antigen (HLA)-matched allogeneic hematopoietic cell transplant (alloHCT).",CD33
NCT05016063,Dual CD33-CLL1-CAR-T Cells in the Treatment of Relapsed/Refractory Acute Myeloid Leukemia,Phase I Study to Evaluate the Safety and Effectiveness of Dual CD33-CLL1 CAR-T Therapy in Relapsed/Refractory Acute Myeloid Leukemia,UNKNOWN,EARLY_PHASE1,INTERVENTIONAL,32,"Leukemia, Myeloid, Acute",Fludarabine; Cytoxan; Dual CD33-CLL1 CAR-T cells,DRUG; DRUG; BIOLOGICAL,2021-09-01,2022-09-01,2023-09-01,China,Xinqiao Hospital of Chongqing,Overall Response Rate (ORR); the safety evaluation of Dual CD33-CLL1 CAR-T cells,"Phase I, interventional, single-arm, open-label, treatment study to evaluate the safety and effectiveness of CD33-CLL1 CAR in patients with relapsed and/or refractory acute myeloid leukemia (AML).",CD33; CLL-1
NCT07370064,Clinical Study of Anti-CLL1-CD33-NKG2D Bicephali CAR-T for Relapsed/Refractory Acute Myeloid Leukemia,A Phase I/II Study to Evaluate the Safety and Efficacy of Anti-CLL1-CD33-NKG2D Bicephali CAR-T Cells in Patients With Relapsed/Refractory Acute Myeloid Leukemia,NOT_YET_RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,20,AML (Acute Myeloid Leukemia),CAR-T,BIOLOGICAL,2026-01-31,2028-01-31,2029-01-31,China,Xuzhou Medical University,Rate of Complete Remission (CR) or Partial Remission (PR) in Patients with Relapsed/Refractory AML Following CAR-T Therapy,"This study is a clinical trial designed to evaluate the safety and efficacy of a new type of CAR-T cell therapy for patients with relapsed/refractory acute myeloid leukemia (AML). The treatment involves modifying the patient's own T cells to target and eliminate leukemia cells more effectively. This is a cutting-edge therapy using anti-CLL1-CD33-NKG2D Bicephali CAR-T cells.

The primary goal of this study is to determine whether this treatment can improve survival and reduce the symptoms of AML in patients whose disease has not responded to standard treatments. Participants will be closely mon",CD33; CLL-1
NCT03126864,Study of Adoptive Cellular Therapy Using Autologous T Cells Transduced With Lentivirus to Express a CD33 Specific Chimeric Antigen Receptor in Patients With Relapsed or Refractory CD33-Positive Acute Myeloid Leukemia,A Phase 1 Safety Study of Adoptive Cellular Therapy Using Autologous T Cells Transduced With Lentivirus to Express a CD33 Specific Chimeric Antigen Receptor in Patients With Relapsed or Refractory CD33-Positive Acute Myeloid Leukemia,TERMINATED,PHASE1,INTERVENTIONAL,11,Hematopoietic/Lymphoid Cancer; Acute Myeloid Leukemia,Leukapheresis; Fludarabine; Cyclophosphamide; CD33-CAR-T Cell Infusion,PROCEDURE; DRUG; DRUG; BIOLOGICAL,2017-08-04,2019-10-10,2019-10-10,United States,M.D. Anderson Cancer Center,Recommended Phase II Dose (RP2D) of CD33-CAR-T Cells,"Any time the words ""you,"" ""your,"" ""I,"" or ""me"" appear, it is meant to apply to the potential participant.

The goal of this clinical research study is to learn about the safety and tolerability of 3 different doses of CD33-CAR-T cells (referred to throughout the consent as ""T-cells"") in patients who have CD33-positive acute myeloid leukemia (AML) that is relapsed (has come back) or refractory (has not responded to treatment).

CD33-CAR-T is made by genetically modifying (changing) your T-cells (a type of white blood cell). T-cells are genetically changed to help target leukemia cells.

This is",CD33
NCT05473221,Evaluate the Safety and Efficacy of CD33 CAR-T in Patients With R/R AML,To Evaluate the Safety and Efficacy of CD33 CAR-T in Patients With Relapsed and Refractory Acute Myeloid Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,20,AML,CD33 CAR-T,BIOLOGICAL,2022-08-02,2024-08-02,2025-08-02,China,Zhejiang University,Evaluation of Safety; Changes in cytokine level after CD33 CAR-T infusion,"This is an open label, phase I study to assess the safety and efficacy of CD33 CAR-T in patients with relapsed and refractory acute myeloid leukemia",CD33
NCT05995041,Universal CAR-T Cells Targeting AML,Universal CAR T Cells for the Treatment of Acute Myeloid Leukemia,RECRUITING,PHASE1,INTERVENTIONAL,30,Acute Myeloid Leukemia,"CLL-1, CD33, CD38 and/or CD123-specific universal CAR- T cells",BIOLOGICAL,2023-10-31,2026-09-30,2026-12-31,China,Shenzhen Geno-Immune Medical Institute,Safety of infusion,"The purpose of this clinical trial is to assess the feasibility, safety and efficacy of universal CAR T-cell products targeting CLL-1, CD33, CD38 and CD123 in patients with relapsed and refractory AML. The study also aims to learn more about the function of the universal CAR T cells and their persistency in AML patients.",CD33; CD123; CLL-1; CD38
