"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211486_s_at",3.41440638547367,4.42365989712477,139.42740904277,0,0,965.802848111286
"217421_at",3.33874059599999,4.43436864945251,139.378850250526,0,0,965.620865592146
"1553874_a_at",4.10912558734033,4.32542073110987,139.271663928904,0,0,965.218950662508
"237191_x_at",3.59594454336841,4.39796734591434,139.268168741829,0,0,965.20583981391
"227332_at",3.66031691178946,4.38885691760894,138.891275625824,0,0,963.790214049663
"214576_at",4.3979300696842,4.28446473883799,138.774794987324,0,0,963.351962329369
"224539_s_at",3.70319191178946,4.3827889474041,138.423761671226,0,0,962.029082135778
"221946_at",3.47985243810526,4.4143975135121,138.370928925971,0,0,961.829701717902
"215020_at",3.42812612231578,4.42171818390317,138.324902566037,0,0,961.655947748213
"220074_at",3.03646164863157,4.47714928259963,138.149783467061,0,0,960.994349026924
"227081_at",3.61108664863157,4.39582432915456,137.884893875698,0,0,959.992068420801
"221456_at",3.80918796442104,4.36778764386592,137.769266326846,0,0,959.55398184501
"228267_at",3.82136822757894,4.36606380773929,137.658421703095,0,0,959.133685726621
"233119_at",3.69214322757894,4.38435263455493,137.597909523089,0,0,958.904101233044
"1553009_s_at",3.80919059599999,4.36778727142644,137.137201824972,0,0,957.152987740181
"236163_at",3.86029980652631,4.36055393809311,136.974511861325,0,0,956.533269456712
"231415_at",3.77641691178947,4.37242563269274,136.879001509543,0,0,956.169123142368
"1570023_at",4.69964191178946,4.24176436639851,136.771409065967,0,0,955.758620659421
"237022_at",3.89124585915788,4.35617423604469,136.64146273241,0,0,955.262417919845
"204356_at",3.0836853328421,4.47046585615642,136.637158127191,0,0,955.245972967053
"223632_s_at",3.04821296442105,4.47548615410801,136.593769034501,0,0,955.080185215713
"226598_s_at",2.68521164863157,4.52686064200372,136.346397590905,0,0,954.134026132638
"237977_at",2.52624849073683,4.54935822114711,136.249670566404,0,0,953.763612734798
"1555033_a_at",4.22768533284209,4.30855896602607,136.202408854934,0,0,953.582533824125
"214865_at",3.60520243810526,4.39665710382868,136.188238819963,0,0,953.528230919443
"244113_at",3.71475112231579,4.38115300699441,135.907052635505,0,0,952.449539890135
"236082_at",3.17691954336841,4.45727069786965,135.879127914403,0,0,952.342298098847
"1561123_at",4.21347349073683,4.31057032543017,135.767805714674,0,0,951.914567907346
"220825_s_at",3.42161164863157,4.4226401578324,135.61172174414,0,0,951.31428559655
"215161_at",3.35209191178947,4.43247907775791,135.596438487586,0,0,951.255472309403
"211981_at",3.00612703413402,4.48167362461825,135.147735302819,0,0,949.525934401425
"233767_at",3.04566954336841,4.47584611686406,135.107285968526,0,0,949.369751780709
"1563074_at",3.38661164863157,4.42759360289758,135.098474126993,0,0,949.335721645695
"1554404_a_at",3.22581428021051,4.45035077235754,134.885920757577,0,0,948.51422603983
"1564379_at",3.45522085915789,4.41788354703166,134.872192520898,0,0,948.461125380552
